Pair_UID,X_unitNum,Y_unitNum,X_area,Y_area,XY_Dist,condition,alignedName,rhoRaw_50ms,pvalRaw_50ms,rhoRaw_150ms,pvalRaw_150ms,rhoRaw_200ms,pvalRaw_200ms,X_Y_visGrade,X_Y_visType,X_Y_moveGrade,X_Y_errGrade,X_Y_rewGrade,X_Y_poorIso,Y_visGrade,Y_visType,Y_moveGrade,Y_errGrade,Y_rewGrade,Y_poorIso,monkey,sessNum,sess,outcome,satCondition,epoch,sameAreaPair,sameChannelPair,pairCount,signifPlusRho,signifMinusRho,nonSignifRho
PAIR_0009,2,11,FEF,SC,NaN,FastCorrect,Visual,-0.005801816,0.9135035,0.01394224,0.794066,-0.03228541,0.5454488,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,Correct,Fast,Visual,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastCorrect,PostSaccade,0.1316975,0.01327186,0.0653737,0.2204943,-0.008856325,0.8683078,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,Correct,Fast,PostSaccade,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastCorrect,PostReward,0.04317195,0.4187295,0.07125269,0.1816583,0.04176643,0.4340512,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,Correct,Fast,PostReward,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastErrorChoice,Baseline,0.03803058,0.70011,0.07007499,0.4774974,0.03799347,0.7003887,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorChoice,Fast,Baseline,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastErrorChoice,Visual,-0.07150505,0.468534,-0.0712378,0.470202,-0.08133639,0.4094619,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorChoice,Fast,Visual,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastErrorChoice,PostSaccade,-0.009917517,0.9200186,-0.04323988,0.6614022,-0.07192018,0.4659493,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorChoice,Fast,PostSaccade,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastErrorChoice,PostReward,0.08186678,0.4064043,-0.05769284,0.558826,-0.08361496,0.3964221,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorChoice,Fast,PostReward,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastErrorTiming,Baseline,-0.1006211,0.4778559,0.04097815,0.7730134,0.0660714,0.6416631,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorTiming,Fast,Baseline,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastErrorTiming,Visual,-0.2963615,0.03289813,-0.1424035,0.3139022,0.01044831,0.9413969,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorTiming,Fast,Visual,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastErrorTiming,PostSaccade,0.2032072,0.1484998,0.1864647,0.1856452,0.1301013,0.3579475,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorTiming,Fast,PostSaccade,0,0,1,0,0,1
