X_unitNum,Y_unitNum,X_area,Y_area,X_visMovType,X_sortVisMov,X_errGrade,X_rewGrade,X_poorIso,Y_visMovType,Y_sortVisMov,Y_errGrade,Y_rewGrade,Y_poorIso,outcome,satCondition,epoch,rscSign,signifPlusRho,signifMinusRho,signifRsc
23,17,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,1,1
23,17,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,1,1
23,17,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,1,1
23,17,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,1,1
23,17,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
23,18,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,0,0
23,18,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,1,0,0,0
23,18,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,1,1
23,18,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,0,0
23,18,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,0,0
23,18,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
23,19,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,0,0
23,19,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,1,0,0,0
23,19,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
23,19,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,0,0
23,19,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,1,1
23,19,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
23,20,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,1,1
23,20,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,1,1
23,20,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,1,1
23,20,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,1,1
23,20,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,0,0
23,20,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
23,21,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,1,1
23,21,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
23,21,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,0,0
23,21,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,1,1
23,21,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,1,1
23,21,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
23,22,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,1,1
23,22,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,1,1
23,22,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,1,1
23,22,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,1,1
23,22,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,1,1
23,22,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
23,29,SEF,SC,VisMov,2,3,3,0,VisMov,2,0,0,0,Correct,Accurate,PostSaccade,-1,0,0,0
23,29,SEF,SC,VisMov,2,3,3,0,VisMov,2,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
23,29,SEF,SC,VisMov,2,3,3,0,VisMov,2,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
23,29,SEF,SC,VisMov,2,3,3,0,VisMov,2,0,0,0,Correct,Fast,PostSaccade,1,0,0,0
23,29,SEF,SC,VisMov,2,3,3,0,VisMov,2,0,0,0,ErrorChoice,Fast,PostSaccade,1,0,0,0
23,29,SEF,SC,VisMov,2,3,3,0,VisMov,2,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
24,12,SEF,FEF,Other,0,2,3,0,VisMov,2,0,0,0,Correct,Accurate,PostSaccade,-1,0,0,0
24,12,SEF,FEF,Other,0,2,3,0,VisMov,2,0,0,0,ErrorChoice,Accurate,PostSaccade,1,0,0,0
24,12,SEF,FEF,Other,0,2,3,0,VisMov,2,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
24,12,SEF,FEF,Other,0,2,3,0,VisMov,2,0,0,0,Correct,Fast,PostSaccade,1,0,0,0
24,12,SEF,FEF,Other,0,2,3,0,VisMov,2,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,0,0
24,12,SEF,FEF,Other,0,2,3,0,VisMov,2,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
24,13,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,1,0,0,0
24,13,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
24,13,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
24,13,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,0,0
24,13,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,1,1
24,13,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
24,14,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,0,0
24,14,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,1,0,0,0
24,14,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
24,14,SEF,FEF,Other,0,2,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,1,0,0,0
